#z m1 m2 n_cc n_ia
1.896 1.13 1.72 2.02 1.16
1.893 1.08 1.97 4.73 2.66
1.989 1.06 1.16 .52 .33
1.989 1.04 1.17 1.4 .9
2.095 .75 2.53 .64 .39
2.086 .9 2.67 .061 .035
2.298 .86 1.77 1.01 .6
1.006 1.2 6.01 .01 .01
3.223 .7 1.88 1.79 1.14
1.637 1.25 .93 5.07 2.86
2.336 .86 1.69 .29 .16
1.964 1.82 1.86 4.52 2.56
2.218 1.86 2.38 4.8 2.74
2.091 1.18 .22 2.27 1.29
2.107 1.5 1.84 .33 .2
2.285 .95 3.07 5.19 2.99
3.492 .97 .85 .47 .27
3.44 1.05 1.44 .25 .14
3.29 1.17 1.29 1.21 .8
3.253 .78 2.05 .33 .208
3.871 1.06 .49 .53 .29
3.292 .66 1.61 .23 .15
3.292 .92 1.35 .51 .32
