# 2018.03.28  S. Rodney  A subset of the SLACS / S4TM / BELLS sample, selecting the 10 best high-z and high-SFR lensed galaxies.
#  Sem : Observing semester.  B = Aug-Jan,  A = Feb-Jul,  BA = start in B, finish in A,  AB = start in A, finish in B
#  obsfrac : fraction of the year over which the target is observable/observed.
#
# RUN THIS FIRST:  yield for 2018B
# Target	       RA            Dec        Year  Sem obsfrac   zL    z   thetaE  Reff   mu muavg ffiber FOII FOII_err SFR SFR_err N_CC NCC_err  N_Ia   NIa_err
BELLSJ0747+5055 07:47:24.12  +50:55:37.50 2019  BA   0.33  0.44   0.90   0.754  1.089  7    3   31   3.9  1.7    81.6   50.7   0.301  0.187  0.0365  0.0226
SLACSJ0157-0056 01:57:58.94  -00:56:26.10 2019   B   0.33  0.51   0.92   0.500  1.000  7    2   28   2.5  1.4    83.9   60.2   0.305  0.219  0.0368  0.0264
 S4TMJ0143-1006 01:43:56.58  -10:06:33.70 2018   B   0.33  0.22   1.10   1.230  3.24   7    3   33   4.3  1.8   159.5   99.1   0.531  0.330  0.0614  0.0381
BELLSJ1611+1705 16:11:09.80  +17:05:26.60 2019  AB   0.33  0.48   1.21   0.580  0.998  7    3   34   2.1  0.3   121.7   58.1   0.385  0.184  0.0436  0.0208
BELLSJ1215+0047 12:15:04.44  +00:47:26.00 2018  BA   0.33  0.64   1.30   1.368  0.651  7    3   14   1.8  0.8   266.6  165.3   0.812  0.504  0.0903  0.0560
BELLSJ1522+2910 15:22:09.54  +29:10:21.90 2019  AB   0.33  0.56   1.31   0.736  0.890  7    6   43   3.8  0.8   114.8   57.2   0.348  0.173  0.0385  0.0192
BELLSJ0830+5116 08:30:49.73  +51:16:31.80 2018  BA   0.33  0.53   1.33   1.142  0.969  7    6   23   2.3  1.1   134.0   86.5   0.402  0.260  0.0444  0.0287
BELLSJ1159-0007 11:59:44.63  -00:07:28.20 2019  BA   0.33  0.58   1.35   0.683  0.958  7    8   43   3.7  0.6    81.4   38.8   0.243  0.116  0.0268  0.0128
BELLSJ1601+2138 16:01:13.27  +21:38:33.90 2019  AB   0.33  0.54   1.45   0.858  0.436  7    3   26   1.3  0.8   151.4  119.4   0.433  0.342  0.0468  0.0369
BELLSJ0801+4727 08:01:05.30  +47:27:49.61 2018  BA   0.33  0.48   1.52   0.491  0.499  7    4   50   3.5  0.7   229.8  113.0   0.639  0.314  0.0682  0.0335
